 accuracy	 gpsAltitude	 latitude	 longitude	 pressure
3	84696777	37.97058197	-87.5746193	1002092529
3	85145691	37.97058742	-87.57460425	1002101807
3	84495056	37.97059207	-87.57459034	1002111328
3	84843506	37.97059454	-87.57457719	1002115723
3	83832397	37.97059808	-87.57456367	1002102783
3	83573914	37.97060144	-87.5745532	1002136475
3	83374634	37.97060625	-87.57454441	1002112549
3	84357483	37.9706126	-87.5745289	1002156738
3	83196167	37.97061977	-87.57451192	1002156982
3	82769592	37.97062647	-87.57449978	1002127686
3	82660095	37.97063289	-87.57448776	1002155029
3	83396301	37.97063948	-87.574476	1002141602
3	83246338	37.97064671	-87.57446187	1002173584
3	83457458	37.97065374	-87.57444521	1002163574
3	83993103	37.97066034	-87.57442755	1002166504
3	85052124	37.97066734	-87.57441453	1002177246
3	85051575	37.97067902	-87.5743998	1002173584
4	85890991	37.97069222	-87.5743834	1002235352
6	86370667	37.97070419	-87.57437064	1002224854
6	86480347	37.97071427	-87.57435582	1002250977
5	87403809	37.97072159	-87.57434145	1002211182
6	87956543	37.97072853	-87.57432498	1002225098
6	89354614	37.97073674	-87.57431012	1002195557
